PROB_PROSPECT,PROB_ASSINANTE,PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PES_GENERO,ATR_PF_GEO_RENDA_FAM,IDADE
1.8946946,98.10531,True,0,9,5,1,False,True,3,39.0
0.97967386,99.020325,True,1,6,3,7,False,False,2,54.0
1.4166951,98.583305,True,0,56,171,266,False,False,4,58.0
99.63387,0.36612776,False,0,2,3,0,False,False,4,45.0
99.35372,0.64627945,False,0,1,1,0,False,False,4,34.0
99.99245,0.007553924,False,0,5,6,0,False,True,2,35.0
0.16396642,99.83604,True,0,0,0,0,False,False,2,36.0
0.16396642,99.83604,True,0,0,0,0,False,False,2,36.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
1.4166951,98.583305,True,0,56,171,266,False,False,4,58.0
0.50626993,99.49373,True,6,51,177,0,False,False,4,36.0
0.4058063,99.59419,True,46,20,31,7,False,False,3,65.0
0.81771016,99.18229,True,44,33,10,151,True,False,2,45.0
0.8388579,99.16114,True,0,12,6,15,False,False,1,55.0
1.1651039,98.8349,True,1,1,1,1,False,False,2,51.0
99.96721,0.032787085,False,0,4,5,0,False,True,3,31.0
99.97845,0.021551192,False,0,53,386,148,True,True,2,41.0
99.7952,0.20479865,False,0,1,1,0,False,False,2,43.0
0.26646256,99.733536,True,0,0,0,0,False,True,2,37.0
99.61009,0.38991,False,0,1,0,0,False,False,5,40.0
0.3719747,99.62803,True,9,0,0,0,False,False,3,55.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
0.18380284,99.8162,True,0,0,0,0,False,True,3,29.0
94.577255,5.422747,False,30,11,14,0,False,False,2,52.0
99.947464,0.052537147,False,1,45,50,52,True,False,4,33.0
99.96503,0.034975454,False,0,22,17,17,False,True,3,36.0
0.8388579,99.16114,True,0,12,6,15,False,False,1,55.0
0.26646256,99.733536,True,0,0,0,0,False,True,2,37.0
1.1651039,98.8349,True,1,1,1,1,False,False,2,51.0
0.7327378,99.267265,True,5,3,1,7,True,True,6,40.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
98.08771,1.9122984,False,3,8,7,4,False,False,4,38.0
99.982574,0.017428473,False,0,5,6,0,False,True,3,26.0
0.21550655,99.78449,True,0,0,0,0,False,True,3,40.0
99.95379,0.04621287,False,0,8,4,0,False,True,3,35.0
95.84337,4.1566315,False,16,12,0,52,True,False,4,32.0
0.7016301,99.29837,True,3,4,4,0,False,False,4,25.0
0.18094182,99.81906,True,0,0,0,0,False,True,4,30.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
0.7327378,99.267265,True,5,3,1,7,True,True,6,40.0
97.78082,2.2191744,False,3,8,4,14,False,False,3,31.0
99.643814,0.35618693,False,0,1,1,0,False,True,2,51.0
99.73722,0.26278093,False,0,13,5,0,False,False,3,35.0
0.26646256,99.733536,True,0,0,0,0,False,True,2,37.0
0.18380284,99.8162,True,0,0,0,0,False,True,3,29.0
0.30840635,99.6916,True,53,60,289,495,True,False,2,54.0
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
80.135574,19.864426,False,3,2,3,1,False,True,2,68.0
0.20941496,99.79059,True,0,0,0,0,False,True,4,34.0
99.90866,0.091337144,False,1,2,0,3,True,False,1,34.0
99.99378,0.0062195817,False,30,38,3,207,True,True,2,66.0
99.98127,0.018735707,False,37,41,0,171,True,True,2,58.0
99.75828,0.24172337,False,12,8,11,0,False,True,6,57.0
99.965164,0.034836356,False,0,18,37,0,False,False,3,40.0
0.13891459,99.861084,True,0,0,0,0,False,False,3,26.0
97.936806,2.063195,False,1,10,0,13,True,False,4,30.0
99.98608,0.013922964,False,0,3,1,0,False,True,2,50.0
0.18094182,99.81906,True,0,0,0,0,False,True,4,30.0
99.92667,0.07332873,False,0,1,1,0,False,True,6,51.0
0.7210016,99.279,True,0,5,0,16,True,False,3,43.0
98.971886,1.0281161,False,0,8,1,9,False,False,4,42.0
99.6487,0.35130453,False,15,21,15,1,False,False,3,43.0
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,32.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
99.981636,0.018364321,False,0,41,88,20,False,False,2,43.0
0.36676526,99.63323,True,1,1,0,12,True,False,5,29.0
0.4058063,99.59419,True,46,20,31,7,False,False,3,65.0
98.88141,1.1185913,False,69,40,21,2,False,False,2,43.0
99.87568,0.124322645,False,0,53,223,21,False,True,3,79.0
99.962364,0.037637226,False,4,41,6,260,True,False,3,33.0
0.5130172,99.486984,True,18,22,0,84,True,False,2,37.0
99.97142,0.028580964,False,4,46,0,359,True,False,2,41.0
0.21550655,99.78449,True,0,0,0,0,False,True,3,40.0
99.969604,0.030389944,False,0,2,2,0,False,True,3,32.0
99.89952,0.100479394,False,21,20,9,2,False,False,3,63.0
1.1651039,98.8349,True,1,1,1,1,False,False,2,51.0
99.984344,0.015656663,False,0,3,3,0,False,True,5,41.0
0.7016301,99.29837,True,3,4,4,0,False,False,4,25.0
1.1651039,98.8349,True,1,1,1,1,False,False,2,51.0
1.782757,98.21724,True,0,1,2,0,False,False,4,36.0
99.968475,0.03152439,False,5,26,0,41,True,True,3,38.0
0.85166097,99.14834,True,0,16,5,84,True,False,5,39.0
1.8946946,98.10531,True,0,9,5,1,False,True,3,39.0
0.13891459,99.861084,True,0,0,0,0,False,False,3,26.0
99.40124,0.5987616,False,0,2,4,0,False,False,3,39.0
1.0967791,98.90322,True,3,13,26,5,False,False,3,40.0
99.802124,0.19787532,False,5,7,9,0,False,False,4,31.0
0.66334605,99.336655,True,0,0,0,0,False,False,3,63.0
99.94841,0.05159491,False,0,2,3,0,False,False,3,68.0
